WEEK	VISITING	HOME	DATE	TIME	Favorite	Line	Status
WEEK 8	MIA 	NE 	SUNDAY, OCTOBER 27TH	1:00PM ET			closed
WEEK 8	PIT 	OAK 	SUNDAY, OCTOBER 27TH	4:05PM ET			closed
WEEK 8	NYJ 	CIN 	SUNDAY, OCTOBER 27TH	4:05PM ET			closed
WEEK 8	WAS 	DEN 	SUNDAY, OCTOBER 27TH	4:25PM ET			closed
WEEK 8	ATL 	ARI 	SUNDAY, OCTOBER 27TH	4:25PM ET			closed
WEEK 8	GB 	MIN 	SUNDAY, OCTOBER 27TH	8:30PM ET			closed
WEEK 8	SEA 	STL 	MONDAY, OCTOBER 28TH	8:40PM ET			
WEEK 9	CIN 	MIA 	THURSDAY, OCTOBER 31ST	8:25PM ET			
WEEK 9	KAN 	BUF 	SUNDAY, NOVEMBER 3RD	1:00PM ET			
WEEK 9	ATL 	CAR 	SUNDAY, NOVEMBER 3RD	1:00PM ET			
WEEK 9	SD 	WAS 	SUNDAY, NOVEMBER 3RD	1:00PM ET			
WEEK 9	NO 	NYJ 	SUNDAY, NOVEMBER 3RD	1:00PM ET			
WEEK 9	TEN 	STL 	SUNDAY, NOVEMBER 3RD	1:00PM ET			
WEEK 9	MIN 	DAL 	SUNDAY, NOVEMBER 3RD	1:00PM ET			
WEEK 9	TB 	SEA 	SUNDAY, NOVEMBER 3RD	4:05PM ET			
WEEK 9	PHI 	OAK 	SUNDAY, NOVEMBER 3RD	4:05PM ET			
WEEK 9	PIT 	NE 	SUNDAY, NOVEMBER 3RD	4:25PM ET			
WEEK 9	Baltimoretimore 	CLE 	SUNDAY, NOVEMBER 3RD	4:25PM ET			
WEEK 9	IND 	HOU 	SUNDAY, NOVEMBER 3RD	8:30PM ET			
WEEK 9	CHI 	GB 	MONDAY, NOVEMBER 4TH	8:40PM ET			
WEEK 10	WAS 	MIN 	THURSDAY, NOVEMBER 7TH	8:25PM ET			
WEEK 10	PHI 	GB 	SUNDAY, NOVEMBER 10TH	1:00PM ET			
WEEK 10	DET 	CHI 	SUNDAY, NOVEMBER 10TH	1:00PM ET			
WEEK 10	STL 	IND 	SUNDAY, NOVEMBER 10TH	1:00PM ET			
WEEK 10	CIN 	BAL 	SUNDAY, NOVEMBER 10TH	1:00PM ET			
WEEK 10	BUF 	PIT 	SUNDAY, NOVEMBER 10TH	1:00PM ET			
WEEK 10	JAC 	TEN 	SUNDAY, NOVEMBER 10TH	1:00PM ET			
WEEK 10	OAK 	NYG 	SUNDAY, NOVEMBER 10TH	1:00PM ET			
WEEK 10	SEA 	ATL 	SUNDAY, NOVEMBER 10TH	1:00PM ET			
WEEK 10	CAR 	SF 	SUNDAY, NOVEMBER 10TH	4:05PM ET			
WEEK 10	HOU 	ARI 	SUNDAY, NOVEMBER 10TH	4:25PM ET			
WEEK 10	DEN 	SD 	SUNDAY, NOVEMBER 10TH	4:25PM ET			
WEEK 10	DAL 	NO 	SUNDAY, NOVEMBER 10TH	8:30PM ET			
WEEK 10	MIA 	TB 	MONDAY, NOVEMBER 11TH	8:40PM ET			
WEEK 11	IND 	TEN 	THURSDAY, NOVEMBER 14TH	8:25PM ET			
WEEK 11	OAK 	HOU 	SUNDAY, NOVEMBER 17TH	1:00PM ET			
WEEK 11	NYJ 	BUF 	SUNDAY, NOVEMBER 17TH	1:00PM ET			
WEEK 11	CLE 	CIN 	SUNDAY, NOVEMBER 17TH	1:00PM ET			
WEEK 11	BAL 	CHI 	SUNDAY, NOVEMBER 17TH	1:00PM ET			
WEEK 11	SD 	MIA 	SUNDAY, NOVEMBER 17TH	1:00PM ET			
WEEK 11	ARI 	JAC 	SUNDAY, NOVEMBER 17TH	1:00PM ET			
WEEK 11	ATL 	TB 	SUNDAY, NOVEMBER 17TH	1:00PM ET			
WEEK 11	DET 	PIT 	SUNDAY, NOVEMBER 17TH	1:00PM ET			
WEEK 11	WAS 	PHI 	SUNDAY, NOVEMBER 17TH	1:00PM ET			
WEEK 11	KAN 	DEN 	SUNDAY, NOVEMBER 17TH	4:05PM ET			
WEEK 11	MIN 	SEA 	SUNDAY, NOVEMBER 17TH	4:25PM ET			
WEEK 11	SF 	NO 	SUNDAY, NOVEMBER 17TH	4:25PM ET			
WEEK 11	GB 	NYG 	SUNDAY, NOVEMBER 17TH	8:30PM ET			
WEEK 11	NE 	CAR 	MONDAY, NOVEMBER 18TH	8:40PM ET			
WEEK 12	NO 	ATL 	THURSDAY, NOVEMBER 21ST	8:25PM ET			
WEEK 12	CAR 	MIA 	SUNDAY, NOVEMBER 24TH	1:00PM ET			
WEEK 12	SD 	KAN 	SUNDAY, NOVEMBER 24TH	1:00PM ET			
WEEK 12	PIT 	CLE 	SUNDAY, NOVEMBER 24TH	1:00PM ET			
WEEK 12	JAC 	HOU 	SUNDAY, NOVEMBER 24TH	1:00PM ET			
WEEK 12	NYJ 	BAL 	SUNDAY, NOVEMBER 24TH	1:00PM ET			
WEEK 12	MIN 	GB 	SUNDAY, NOVEMBER 24TH	1:00PM ET			
WEEK 12	TB 	DET 	SUNDAY, NOVEMBER 24TH	1:00PM ET			
WEEK 12	CHI 	STL 	SUNDAY, NOVEMBER 24TH	1:00PM ET			
WEEK 12	IND 	ARI 	SUNDAY, NOVEMBER 24TH	4:05PM ET			
WEEK 12	TEN 	OAK 	SUNDAY, NOVEMBER 24TH	4:05PM ET			
WEEK 12	DAL 	NYG 	SUNDAY, NOVEMBER 24TH	4:25PM ET			
WEEK 12	DEN 	NE 	SUNDAY, NOVEMBER 24TH	8:30PM ET			
WEEK 12	SF 	WAS 	MONDAY, NOVEMBER 25TH	8:40PM ET			
WEEK 13	GB 	DET 	THURSDAY, NOVEMBER 28TH	12:30PM ET			
WEEK 13	OAK 	DAL 	THURSDAY, NOVEMBER 28TH	4:30PM ET			
WEEK 13	PIT 	BAL 	THURSDAY, NOVEMBER 28TH	8:30PM ET			
WEEK 13	DEN 	KAN 	SUNDAY, DECEMBER 1ST	1:00PM ET			
WEEK 13	JAC 	CLE 	SUNDAY, DECEMBER 1ST	1:00PM ET			
WEEK 13	TEN 	IND 	SUNDAY, DECEMBER 1ST	1:00PM ET			
WEEK 13	ARI 	PHI 	SUNDAY, DECEMBER 1ST	1:00PM ET			
WEEK 13	MIA 	NYJ 	SUNDAY, DECEMBER 1ST	1:00PM ET			
WEEK 13	CHI 	MIN 	SUNDAY, DECEMBER 1ST	1:00PM ET			
WEEK 13	TB 	CAR 	SUNDAY, DECEMBER 1ST	1:00PM ET			
WEEK 13	STL 	SF 	SUNDAY, DECEMBER 1ST	4:05PM ET			
WEEK 13	ATL 	BUF 	SUNDAY, DECEMBER 1ST	4:05PM ET			
WEEK 13	CIN 	SD 	SUNDAY, DECEMBER 1ST	4:25PM ET			
WEEK 13	NE 	HOU 	SUNDAY, DECEMBER 1ST	4:25PM ET			
WEEK 13	NYG 	WAS 	SUNDAY, DECEMBER 1ST	8:30PM ET			
WEEK 13	NO 	SEA 	MONDAY, DECEMBER 2ND	8:40PM ET			
WEEK 14	HOU 	JAC 	THURSDAY, DECEMBER 5TH	8:25PM ET			
WEEK 14	CLE 	NE 	SUNDAY, DECEMBER 8TH	1:00PM ET			
WEEK 14	IND 	CIN 	SUNDAY, DECEMBER 8TH	1:00PM ET			
WEEK 14	BUF 	TB 	SUNDAY, DECEMBER 8TH	1:00PM ET			
WEEK 14	MIN 	BAL 	SUNDAY, DECEMBER 8TH	1:00PM ET			
WEEK 14	MIA 	PIT 	SUNDAY, DECEMBER 8TH	1:00PM ET			
WEEK 14	OAK 	NYJ 	SUNDAY, DECEMBER 8TH	1:00PM ET			
WEEK 14	KAN 	WAS 	SUNDAY, DECEMBER 8TH	1:00PM ET			
WEEK 14	CAR 	NO 	SUNDAY, DECEMBER 8TH	1:00PM ET			
WEEK 14	DET 	PHI 	SUNDAY, DECEMBER 8TH	1:00PM ET			
WEEK 14	TEN 	DEN 	SUNDAY, DECEMBER 8TH	4:05PM ET			
WEEK 14	STL 	ARI 	SUNDAY, DECEMBER 8TH	4:25PM ET			
WEEK 14	NYG 	SD 	SUNDAY, DECEMBER 8TH	4:25PM ET			
WEEK 14	SEA 	SF 	SUNDAY, DECEMBER 8TH	4:25PM ET			
WEEK 14	ATL 	GB 	SUNDAY, DECEMBER 8TH	8:30PM ET			
WEEK 14	DAL 	CHI 	MONDAY, DECEMBER 9TH	8:40PM ET			
WEEK 15	SD 	DEN 	THURSDAY, DECEMBER 12TH	8:25PM ET			
WEEK 15	CHI 	CLE 	SUNDAY, DECEMBER 15TH	1:00PM ET			
WEEK 15	HOU 	IND 	SUNDAY, DECEMBER 15TH	1:00PM ET			
WEEK 15	BUF 	JAC 	SUNDAY, DECEMBER 15TH	1:00PM ET			
WEEK 15	WAS 	ATL 	SUNDAY, DECEMBER 15TH	1:00PM ET			
WEEK 15	NE 	MIA 	SUNDAY, DECEMBER 15TH	1:00PM ET			
WEEK 15	SF 	TB 	SUNDAY, DECEMBER 15TH	1:00PM ET			
WEEK 15	SEA 	NYG 	SUNDAY, DECEMBER 15TH	1:00PM ET			
WEEK 15	NO 	STL 	SUNDAY, DECEMBER 15TH	1:00PM ET			
WEEK 15	PHI 	MIN 	SUNDAY, DECEMBER 15TH	1:00PM ET			
WEEK 15	ARI 	TEN 	SUNDAY, DECEMBER 15TH	1:00PM ET			
WEEK 15	NYJ 	CAR 	SUNDAY, DECEMBER 15TH	4:05PM ET			
WEEK 15	KAN 	OAK 	SUNDAY, DECEMBER 15TH	4:05PM ET			
WEEK 15	GB 	DAL 	SUNDAY, DECEMBER 15TH	4:25PM ET			
WEEK 15	CIN 	PIT 	SUNDAY, DECEMBER 15TH	8:30PM ET			
WEEK 15	BAL 	DET 	MONDAY, DECEMBER 16TH	8:40PM ET			
WEEK 16	MIN 	CIN 	SUNDAY, DECEMBER 22ND	1:00PM ET			
WEEK 16	MIA 	BUF 	SUNDAY, DECEMBER 22ND	1:00PM ET			
WEEK 16	IND 	KAN 	SUNDAY, DECEMBER 22ND	1:00PM ET			
WEEK 16	CLE 	NYJ 	SUNDAY, DECEMBER 22ND	1:00PM ET			
WEEK 16	DEN 	HOU 	SUNDAY, DECEMBER 22ND	1:00PM ET			
WEEK 16	TEN 	JAC 	SUNDAY, DECEMBER 22ND	1:00PM ET			
WEEK 16	DAL 	WAS 	SUNDAY, DECEMBER 22ND	1:00PM ET			
WEEK 16	CHI 	PHI 	SUNDAY, DECEMBER 22ND	1:00PM ET			
WEEK 16	NO 	CAR 	SUNDAY, DECEMBER 22ND	1:00PM ET			
WEEK 16	TB 	STL 	SUNDAY, DECEMBER 22ND	1:00PM ET			
WEEK 16	NYG 	DET 	SUNDAY, DECEMBER 22ND	4:05PM ET			
WEEK 16	ARI 	SEA 	SUNDAY, DECEMBER 22ND	4:05PM ET			
WEEK 16	PIT 	GB 	SUNDAY, DECEMBER 22ND	4:25PM ET			
WEEK 16	OAK 	SD 	SUNDAY, DECEMBER 22ND	4:25PM ET			
WEEK 16	NE 	BAL 	SUNDAY, DECEMBER 22ND	8:30PM ET			
WEEK 16	ATL 	SF 	MONDAY, DECEMBER 23RD	8:40PM ET			
WEEK 17	CAR 	ATL 	SUNDAY, DECEMBER 29TH	1:00PM ET			
WEEK 17	NYJ 	MIA 	SUNDAY, DECEMBER 29TH	1:00PM ET			
WEEK 17	BAL 	CIN 	SUNDAY, DECEMBER 29TH	1:00PM ET			
WEEK 17	BUF 	NE 	SUNDAY, DECEMBER 29TH	1:00PM ET			
WEEK 17	CLE 	PIT 	SUNDAY, DECEMBER 29TH	1:00PM ET			
WEEK 17	JAC 	IND 	SUNDAY, DECEMBER 29TH	1:00PM ET			
WEEK 17	HOU 	TEN 	SUNDAY, DECEMBER 29TH	1:00PM ET			
WEEK 17	DET 	MIN 	SUNDAY, DECEMBER 29TH	1:00PM ET			
WEEK 17	PHI 	DAL 	SUNDAY, DECEMBER 29TH	1:00PM ET			
WEEK 17	GB 	CHI 	SUNDAY, DECEMBER 29TH	1:00PM ET			
WEEK 17	WAS 	NYG 	SUNDAY, DECEMBER 29TH	1:00PM ET			
WEEK 17	TB 	NO 	SUNDAY, DECEMBER 29TH	1:00PM ET			
WEEK 17	STL 	SEA 	SUNDAY, DECEMBER 29TH	4:25PM ET			
WEEK 17	DEN 	OAK 	SUNDAY, DECEMBER 29TH	4:25PM ET			
WEEK 17	KAN 	SD 	SUNDAY, DECEMBER 29TH	4:25PM ET			
WEEK 17	SF 	ARI 	SUNDAY, DECEMBER 29TH	4:25PM ET			
